youtube_id,title,date,speaker,theme,link
V001,Usaha Kerajaan Mempercepatkan Kenaikan Gaji Rakyat,13/3/2025,Rafizi Ramli,Ekonomi Madani,https://youtu.be/7715zkAiC20?si=zAVep1GbLlMRH5d4
V002,[Video Penuh] Ucapan penuh Rafizi Ramli akhiri Jelajah Hiruk di Johor Bahru,31/5/2025,Rafizi Ramli,Reformasi Parti,https://www.youtube.com/watch?v=r-E2dwkTWeU 
V003,"Rafizi Ramli: Isu Pembakaran Karikatur PMX, Jangan Tembak Pembawa Utusan (Don't Shoot the Messeger)",3/7/2025,Rafizi Ramli,Kebebasan Bersuara,https://www.youtube.com/watch?v=fkaApyCOJnA
V004,Rafizi: I've submitted my resignation as Economy Minister,28/5/2025,Rafizi Ramli,Mandat & Reformasi,https://www.youtube.com/watch?v=p_idrXZpvr8
V005,"Malaysia Economy Minister Rafizi on Growth, Semiconductors, Fuel Subsidies",21/10/2024,Rafizi Ramli,Ekonomi & Teknologi,https://youtu.be/mBV1sSv8w5w?si=mCEABubeUzenVRhY
V006,"[Video Penuh] 'Model Baharu Ekonomi Malaysia' - Rafizi, Syahir bersemuka",10/8/2023,Rafizi Ramli,Debat Ekonomi,https://www.youtube.com/watch?v=nwrVxmroAow
V007,"Malaysia's Economy Minister on Trade, Energy",25/5/2023,Rafizi Ramli,Tenaga & Perdagangan,https://www.youtube.com/watch?v=DyYvdrs9t9o
V008,"Partnership with Arm aims to enhance AI, high tech industries in Malaysia, says Rafizi",5/3/2025,Rafizi Ramli,Teknologi AI,https://www.youtube.com/watch?v=BIk7r3A_XA8
